feature,display_feature,importance_mean,importance_std
PageValues,Page value,0.5049897041330524,0.011414530161089011
Month,Month,0.036560610777937264,0.004771066957565843
ExitRates,Exit rate,0.03198490869857072,0.011995736428065111
BounceRates,Bounce rate,0.02698682006506007,0.011451881218561989
Administrative,Administrative pages viewed,0.016985731471531863,0.00335119456853156
ProductRelated,Product pages viewed,0.01444205645521135,0.004499184146731634
ProductRelated_Duration,Product-page duration,0.011916811090993485,0.0074433583857113645
VisitorType,Visitor type,0.01175500477814211,0.002455367507080396
TrafficType,Traffic source,0.0069460797628726366,0.0033480601204501823
Weekend,Weekend session,0.005686561959121495,0.002930660282155137
Informational,Informational pages viewed,0.0047313635802247785,0.0025639253575176903
Administrative_Duration,Administrative-page duration,0.0027382677246060917,0.0031470317765241035
Informational_Duration,Informational-page duration,0.0010413040612690994,0.002251532603396629
OperatingSystems,Operating system,-0.00045709466873291584,0.0024951661121614148
SpecialDay,Proximity to a special day,-0.002184694928618869,0.0023103480133293986
Browser,Browser,-0.0024030607811710513,0.0009015003835116138
Region,Region,-0.002507708289012767,0.002894367322298292
